BBC6521,Project (JP)
CBU5201,Machine Learning (JP)
EBC3001,Personal Development Plan 1 (JP)
EBC3002,Personal Development Plan and Entrepreneurial Skills 1 (JP)
EBC4001,Personal Development Plan 2 (JP)
EBC4002,Personal Development Plan and Entrepreneurial Skills 2 (JP)
EBC5001,Personal Development Plan 3 (JP)
EBC5002,Personal Development Plan and Entrepreneurial Skills 3 (JP)
EBU4201,Introductory Java Programming (JP)
EBU4202,Digital Circuit Design (JP)
EBU4203,Introduction to AI (JP)
EBU4375,Signals and Systems (JP)
EBU5017,AI Law (JP)
EBU5027,e-Commerce Law (JP)
EBU5042,Advanced Network Programming (JP)
EBU5204,Operating Systems (JP)
EBU5211,Ad Hoc Networks (JP)
EBU5212,Communications and Networks (JP)
EBU5213,Internet Protocols and Networks (JP)
EBU5302,Telecommunications Systems (JP)
EBU5303,Multimedia Fundamentals (JP)
EBU5376,Digital Signal Processing (JP)
EBU5402,Enterprise Management (JP)
EBU5403,Internet Protocols (JP)
EBU5405,3D Graphics Programming Tools (JP)
EBU5408,Digital Audio Fundamentals (JP)
EBU5476,Microprocessors for Embedded Computing (JP)
EBU5477,Embedded Systems (JP)
EBU5502,Databases (JP)
EBU5503,Database Systems (JP)
EBU5504,Networks and Protocols (JP)
EBU5601,Data Design (JP)
EBU5602,Database (JP)
EBU5606,Product Development and Marketing (JP)
EBU5607,IoT Product Development and Management (JP)
EBU5608,Product Development and Management (JP)
EBU6007,Cybersecurity Law (JP)
EBU6009,Computer Crime (JP)
EBU6010,Cryptography and Cyber Security (JP)
EBU6016,Intellectual Property Law (JP)
EBU6018,Advanced Transform Methods (JP)
EBU6230,Image and Video Processing (JP)
EBU6304,Software Engineering (JP)
EBU6305,Interactive Media Design and Production (JP)
EBU6307,Visual Computing (JP)
EBU6308,Computational Creativity (JP)
EBU6335,Digital Systems Design (JP)
EBU6366,"Microwave, Millimeterwave and Optical Transmission (JP)"
EBU6408,Sensors and Radio Frequency Identification (JP)
EBU6409,Broadband Technologies and Fibre Optics (JP)
EBU6410,Wireless Technologies and Techniques (JP)
EBU6444,Communication Systems Electronics (JP)
EBU6475,Microprocessor Systems Design (JP)
EBU6501,Middleware (JP)
EBU6502,Cloud Computing (JP)
EBU6503,Control Theory (JP)
EBU6504,Smart Infrastructure and Data Analytics (JP)
EBU6505,Reasoning and Agents (JP)
EBU6569,Microwave Electronics (JP)
EBU6609,Logistics and Supply Chain Management (JP)
EBU6610,Information Systems Management (JP)
EBU706U,Multimedia Systems (JP)
EBU7140,Security and Authentication (JP)
EBU714U,Security and Authentication (JP)
EBU721U,Ad Hoc and Broadband Wireless (JP)
EBU723U,Image and Video Processing (JP)
EBU7240,Computer Vision (JP)
EBU7250,Wireless Networks (JP)
EBU732U,Digital Broadcasting (JP)
EBU7405,3D Graphics Programming Tools (JP)
EBU7501,Cloud Computing (JP)
EBU750U,Cloud Computing (JP)
ECS401U,Procedural Programming
ECS403U,Communications and Networks
ECS404U,Computer Systems and Networks
ECS405U,Arts Application Programming
ECS406U,Bridging Arts and Technology
ECS407U,Logic and Discrete Structures
ECS408U,Electronic Engineering Mathematics I
ECS409U,Analogue Electronic Systems
ECS411U,Signals and Information
ECS412U,Digital Circuit Design
ECS414U,Object-Oriented Programming
ECS416U,Introduction to Multimedia
ECS417U,Fundamentals of Web Technology
ECS418W,Business Modelling
ECS419U,Information System Analysis
ECS421U,Automata and Formal Languages
ECS423U,Electronic Engineering Mathematics 2
ECS426U,Aspects of Robotics (Robotics I)
ECS427U,Professional and Research Practice
ECS427W,Professional and Research Practice
ECS429U,Programming Fundamentals for Engineers
ECS430U,Computer Systems and Networks
ECS431U,Engineering Skills and Practice
ECS501U,C Programming
ECS502U,Microprocessor Systems Design
